alg,K,recall_mean,recall_sd,precision_mean,f1_mean,mrr_mean,branches_recovered_mean,bio_rec_mean,psycho_rec_mean,social_rec_mean,rank_first_mean,rank_all_true_mean,n
BFS-3phase,3,0.95,0.11962342709421224,0.95,0.95,0.5916666666666667,2.85,1.0,0.95,0.9,1.0,3.15,100
BFS-3phase,5,0.96,0.10886621079036347,0.5760000000000001,0.7199999999999999,0.5936666666666666,2.88,1.0,0.98,0.9,1.0,3.42,100
BFS-3phase,8,0.9866666666666667,0.06564879518897745,0.37,0.5381818181818181,0.5978333333333333,2.96,1.0,1.0,0.96,1.0,3.58,100
BFS-3phase,12,1.0,0.0,0.25,0.4,0.5992222222222222,3.0,1.0,1.0,1.0,1.0,3.61,100
Domain-balanced random,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100
Domain-balanced random,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100
Domain-balanced random,8,0.003333333333333333,0.03333333333333334,0.00125,0.0018181818181818182,0.0004761904761904762,0.01,0.01,0.0,0.0,8.98,9.0,100
Domain-balanced random,12,0.003333333333333333,0.03333333333333334,0.0008333333333333333,0.0013333333333333333,0.0004761904761904762,0.01,0.01,0.0,0.0,12.94,13.0,100
Greedy-top-K,3,0.44,0.16329931618554516,0.44,0.44,0.37888888888888883,1.32,1.0,0.26,0.06,1.0,3.99,100
Greedy-top-K,5,0.4933333333333333,0.18640674544520847,0.29600000000000004,0.37,0.39105555555555555,1.48,1.0,0.36,0.12,1.0,5.93,100
Greedy-top-K,8,0.5366666666666666,0.194740035064736,0.20125,0.2927272727272727,0.3977420634920634,1.61,1.0,0.47,0.14,1.0,8.79,100
Greedy-top-K,12,0.58,0.2044400526537509,0.145,0.23199999999999998,0.40195418470418465,1.74,1.0,0.55,0.19,1.0,12.51,100
Mapping-only,3,0.2033333333333333,0.1634023766667324,0.2033333333333333,0.2033333333333333,0.175,0.61,0.61,0.0,0.0,2.38,4.0,100
Mapping-only,5,0.2333333333333333,0.1535220621572794,0.14,0.175,0.18183333333333335,0.7,0.7,0.0,0.0,3.02,6.0,100
Mapping-only,8,0.26666666666666666,0.1340050420345616,0.1,0.14545454545454548,0.18695238095238093,0.8,0.8,0.0,0.0,3.68,9.0,100
Mapping-only,12,0.2866666666666666,0.12552918289216958,0.07166666666666666,0.11466666666666667,0.189002886002886,0.86,0.85,0.01,0.0,4.33,13.0,100
Random,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100
Random,5,0.003333333333333333,0.03333333333333333,0.002,0.0025,0.0016666666666666666,0.01,0.0,0.0,0.01,5.96,6.0,100
Random,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100
Random,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100
